TOI,,TESS Disposition,TFOPWG Disposition,t0,t0_err,period,p_err,radius,r_err,st_mass,ecc,e_err,mass,m_err,inc,i_err,multi,Comments
1462,1,CP,CP,2459715.63,0.0027391,2.1779312,0.0000126,1.88889,0.826624,1.04,0,0,,,89,0.2,0,HD 158259 b
1494,1,CP,CP,2459464.326,0.0004001,5.0267882,0.0000067,13.2051,0.66189,1.3,0,0,,,89,0.2,0,WASP-186 b
1611,1,CP,CP,2459412.156,0.0021965,16.20170315,5.14E-05,2.743648184,0.195927,0.85,0,0,,,89,0.2,0,HD 207897 b
1670,1,CP,CP,2459688.134,0.0004426,40.7500515,0.0000351,10.9076,0.501824,1.258,0,0,,,89,0.2,1,TOI 1670 c/.01; multi; confirmed (Tran et all 2022)
1670,2,CP,CP,2459699.499,0.0053484,10.9836043,0.0000966,2.16311,0.151429,1.258,0,0,,,89,0.2,1,TOI-1670 b / TOI 1670.02
1690,1,CP,CP,2459419.987,0.03462824,1.407932981,3.99E-06,,,,0,0,,,89,0.2,0,Host star is a white dwarf; interesting small planet; WD 1856+534 b; SPOC is assuming solar stellar parameters
1693,1,CP,CP,2459549.097,0.001889,1.7666834,0.0000191,1.41544615,0.42482212,0.4585,0,0,,,89,0.2,0,potential L1 planet around bright M dwarf star
1726,1,CP,CP,2459598.815,0.0009055,7.1079274,0.0000288,1.90208,0.119627,1.01,0,0,,,89,0.2,1,HD 63433 b
1726,2,CP,CP,2459583.637,0.000997505,20.54382414,2.79E-05,2.55822791,0.32920098,1.01,0,0,,,89,0.2,1,multi; HD 63433 c; potential ephemeris drift
1728,1,CP,CP,2459604.399,0.0005321,3.4913952,0.0000043,4.9395,0.165713,0.614339,0,0,,,89,0.2,0,TOI-1728 b
1749,1,CP,CP,2458685.935,0.00125962,4.48912988,2.17E-05,2.026450098,1.1965522,0.555356,0,0,,,89,0.2,1,TOI-1749 c / TOI 1749.01
1749,2,CP,CP,2458688.782,0.001824232,9.044604186,5.39E-05,2.241915448,0.90746534,0.555356,0,0,,,89,0.2,1,TOI-1749 d / TOI-1749.02
1789,1,CP,CP,2459630.911,0.0003625,3.208717,0.0000042,13.8045,0.827979,1.1,0,0,,,89,0.2,0,TOI-1789 b
1793,1,CP,CP,2458585.255,0.00135,55.087,0.02,4.06425,0.219015,0.87,0,0,,,89,0.2,0,"HD 95338 b	"
1807,1,CP,CP,2459664.071,0.0015863,0.54937,0.0000015,1.53904,0.139876,0.73,0,0,,,89,0.2,0,TOI-1807 b
1811,1,CP,CP,2459661.05,0.0002362,3.7130701,0.0000018,11.7215,0.817683,0.756,0,0,,,89,0.2,0,TOI 1811 b
1826,1,CP,CP,2459695.453,0.001071771,4.141979374,3.90E-06,12.98883444,0.66516143,0.988,0,0,,,89,0.2,0,CTOI from Ethan Kruse; HAT-P-59 b
1827,1,CP,CP,2459691.149,0.0012488,1.4700564,0.0000077,1.07082,0.0408954,0.312792,0,0,,,89,0.2,0,
1842,1,CP,CP,2459680.103,0.0009588,9.5739531,0.00002,12.4956,0.586497,1.153,0,0,,,89,0.2,0,TOI-1842 b; confirmed  in Wittenmyer et al. 2021
1862,1,CP,CP,2459666.852,0.002488879,5.6442004,0.0000095,10.6404,0.529429,1.24,0,0,,,89,0.2,0,WASP-150 b published after CTOI by Ethan
1899,1,CP,CP,2459439.215,0.012871722,29.09022715,7.39E-05,12.18265167,0.41291898,0.602425,0,0,,,89,0.2,0,alerted as single transit; now a duo-transit; CTOI from Planet Hunters; period updated to reflect period for TESS CP TOI-1899 b
2109,1,CP,CP,2458984.389,0.00042,0.67249,0.00002,15.7288,0.739851,1.399,0,0,,,89,0.2,0,large; secondary; artifact TIC 392476079 close by
2119,1,CP,CP,2459707.568,0.0002379,7.2008603,0.0000023,11.9051,0.482091,0.496373,0,0,,,89,0.2,0,confirmed brown dwarf
2180,1,CP,CP,2459611.446,0.003270616,260.2185123,0.004618283,8.77104,0.444921,1.025,0,0,,,89,0.2,0,CTOI from Planet Hunters; now confirmed with period of P=260.79 d in Dalba et al. 2022; updated with 1/3 of max period between two TESS transits (~260.219 days)
2202,1,CP,CP,2459363.57,0.000983882,11.91331446,3.94E-05,11.73228423,0.72672296,0.85,0,0,,,89,0.2,0,TOI-2202 b / TOI 2202.01
2257,1,CP,CP,2459606.203,0.007824,35.189636,0.000431,2.23108,0.18865,0.30755,0,0,,,89,0.2,0,TOI-2257 b / TOI-2257.01 (confirmed by Schanche et al. 2021)
2337,1,CP,CP,2459662.173,0.0046444,2.994316,0.0000187,8.16263,,,0,0,,,89,0.2,0,now CP TOI-2337 b (Grunblatt+2022); CTOI from Samuel Grunblatt
2406,1,CP,CP,2459475.946,0.002495921,3.076682753,1.29E-05,2.778595468,0.24439844,0.165654,0,0,,,89,0.2,0,TOI-2406 b now confirmed (Wells et al. 2021)
4138,1,CP,CP,2459660.608,0.0003275,3.6600377,0.000002,17.5475,0.814404,1.11,0,0,,,89,0.2,0,found in faint-star QLP search; TESS CP (Montalto et al. 2021)
101,1,KP,KP,2459036.904,0.000392664,1.43036914,9.23E-07,13.25049334,0.66068995,1.05,0,0,,,89,0.2,0,WASP-46 b
102,1,KP,KP,2459384.943,0.0013867,4.4119288,0.0000158,15.2023,0.692849,1.28,0,0,,,89,0.2,0,WASP 62 b
103,1,KP,KP,2458327.253,0.000586,3.547854,0.000149,14.581841,0.196435,1.27,0,0,,,89,0.2,0,HATS-3 b
104,1,KP,KP,2459038.864,0.00095496,4.087299396,4.11E-06,13.62377318,0.65182334,1.16,0,0,,,89,0.2,0,WASP-73 b
105,1,KP,KP,2459084.585,0.00011,2.184666949,4.85E-07,13.70285267,0.66197515,1.03,0,0,,,89,0.2,0,WASP-95; epoch kept from qlp-s28-tois
106,1,KP,KP,2459386.715,0.0004872,2.8493824,0.0000042,16.4149,0.742397,1.44,0,0,,,89,0.2,0,WASP-100b
107,1,KP,KP,2459039.336,0.000386352,3.950200943,1.60E-06,19.70589594,0.8632607,1.14,0,0,,,89,0.2,0,WASP-94 A b
108,1,KP,KP,2458328.084,0.000439131,3.044054067,4.26E-06,12.10867994,0.2679916,0.95,0,0,,,89,0.2,0,HATS-13 b
109,1,KP,KP,2458326.128,0.000532337,2.766747877,4.54E-06,12.0222507,0.39210835,0.93,0,0,,,89,0.2,0,HATS-14 b
110,1,KP,KP,2458328.04,0.000219277,3.174347391,2.15E-06,14.4066833,0.80587804,1.03,0,0,,,89,0.2,0,HATS-30 b
111,1,KP,KP,2458326.105,0.000464574,2.106160734,3.78E-06,12.54324213,1.6839882,0.95,0,0,,,89,0.2,0,HATS-34 b
112,1,KP,KP,2459307.333,0.000456858,2.499799598,4.42E-07,13.85160928,0.7051293,1,0,0,,,89,0.2,0,WASP-119 b
113,1,KP,KP,2458327.053,0.000623,3.372877,0.000147,14.201803,0.154789,1.17,0,0,,,89,0.2,0,WASP-124
114,1,KP,KP,2459363.488,0.000529079,3.288787761,5.28E-07,10.43546273,0.51484174,1.01,0,0,,,89,0.2,0,WASP-126 b
115,1,KP,KP,2458329.902,0.000767745,4.742378477,7.23E-06,10.38963033,0.25180125,0.96,0,0,,,89,0.2,0,HATS-46 b
116,1,KP,KP,2459037.528,0.00025644,2.798579441,6.31E-07,11.76407524,0.72200364,0.81,0,0,,,89,0.2,0,WASP-91 b
117,1,KP,KP,2459063.656,0.001190335,3.5862962,0.000153009,16.47476108,0.9191712,1.02,0,0,,,89,0.2,0,HATS-68 b
126,1,KP,KP,2458326.731,0.00042045,3.035397712,3.68E-06,13.79115826,0.73552907,1.09,0,0,,,89,0.2,0,WASP-12 b
143,1,KP,KP,2458325.582,0.000151972,2.310968898,1.01E-06,17.30428,0.83617586,1.336,0,0,,,89,0.2,0,WASP-111 b
165,1,KP,APC,2459381.274,0.0001455,7.7576425,0.0000019,12.4562,0.956436,,0,0,,,89,0.2,0,known brown dwarf/low-mass star discovered by WASP (EBLM J0555-57)
185,1,KP,KP,2459140.571,0.0000471,0.9414523,0.0000001,15.4874,0.787181,1.2,0,0,,,89,0.2,0,WASP-18 b
190,1,KP,KP,2459139.178,0.0002471,10.02059978,4.65E-06,11.76791831,0.5424184,1.1,0,0,,,89,0.2,0,WASP-117 b
191,1,KP,KP,2458358.92,0.00017,8.158454527,0.000245812,12.74523711,0.74736714,0.99,0,0,,,89,0.2,0,WASP-8
192,1,KP,KP,2459089.962,0.000278642,3.922715213,1.37E-06,6.785695746,0.44896454,0.88,0,0,,,89,0.2,0,WASP-29 b
